Position,Name-Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Samajae Haynes-Jones / Wichita State,37,37,32.3,4.4,12.4,0.357,2.7,6.6,0.41,1.7,5.8,0.298,1.4,1.6,0.847,0.5,2.5,2.9,2.7,0.6,0.1,1.6,1.9,11.9
1,Jaime Echenique / Wichita State,37,34,17.9,3.6,6.6,0.543,3.3,5.8,0.565,0.3,0.8,0.387,1.6,2.5,0.649,1.8,4.1,6,0.4,0.5,1.4,1.3,3.1,9.2
0,Dexter Dennis / Wichita State,35,25,25.9,2.9,7.2,0.399,1.3,3.4,0.398,1.5,3.9,0.4,1.1,1.7,0.661,1.5,3.9,5.3,0.9,0.3,0.5,1.1,2.4,8.4
0,Erik Stevenson / Wichita State,37,11,21.9,2.1,6.5,0.325,0.9,2.2,0.415,1.2,4.3,0.278,1.1,1.4,0.788,0.5,3.1,3.7,2.1,0.8,0.2,1.6,2.8,6.5
0,Jamarius Burton / Wichita State,37,28,24,2.1,5.4,0.39,1.8,4.4,0.42,0.3,1,0.263,1.5,2.1,0.714,1.1,2.3,3.4,3.4,0.5,0.1,1.8,1.9,6
1,Asbjorn Midtgaard / Wichita State,34,3,11.3,1.6,2.6,0.632,1.6,2.6,0.632,0,0,0,0.6,1.1,0.595,1.2,1.9,3.1,0.2,0.1,0.8,0.6,1.9,3.9
0,Ricky Torres / Wichita State,37,10,15.2,1,2.9,0.346,0.9,1.7,0.532,0.1,1.2,0.089,0.2,0.3,0.667,0.3,1.5,1.8,2.4,0.4,0.1,1,0.9,2.3
1,Isaiah Poor Bear-Chandler / Wichita State,31,0,8.2,1,1.9,0.5,0.9,1.6,0.529,0.1,0.3,0.333,0.6,0.9,0.679,0.8,1.1,1.9,0.3,0.1,0.3,0.5,1.2,2.6
1,Morris Udeze / Wichita State,16,0,12.6,1.5,2.7,0.558,1.5,2.7,0.558,0,0,0,0.3,0.8,0.385,1.1,2.1,3.2,0.4,0.2,0.4,0.6,1.9,3.3
1,Rod Brown / Wichita State,36,0,7.1,0.4,1.1,0.317,0.3,0.9,0.364,0,0.2,0.125,0.4,0.7,0.538,0.5,0.8,1.3,0.1,0.2,0,0.3,0.7,1.1
1,Chance Moore / Wichita State,4,0,5,0.3,1,0.25,0.3,0.8,0.333,0,0.3,0,0.3,0.5,0.5,0.8,0,0.8,0,0,0,0.5,0.5,0.8
0,Eli Farrakhan / Wichita State,11,0,3,0.1,0.9,0.1,0.1,0.7,0.125,0,0.2,0,0,0,0,0.1,0.2,0.3,0,0,0,0.1,0.3,0.2
0,Brycen Bush / Wichita State,4,0,1.5,0,0.8,0,0,0.3,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Jacob Herrs / Wichita State,6,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0
0,David Collins / South Florida,37,37,33.6,4.5,11.3,0.4,3.2,7.2,0.448,1.3,4.1,0.313,5.6,7.9,0.703,0.6,3.1,3.8,3.1,2.1,0.3,3.2,3.2,15.9
